codigo,univComp
020100513,32
020100514,40
020100601,29
020100602,28
020100603,57
020100604,54
020100605,64
020100606,49
020100607,59
020100608,61
020100609,42
020100610,53
020100611,42
020100612,59
020100613,61
020100701,58
020100702,64
020100703,70
020100704,68
020100705,41
020100706,48
020100707,71
020100708,60
020100709,51
020100710,48
020100801,61
020100802,61
020100803,63
020100804,61
020100805,42
020100806,53
020100807,61
020100808,45
020100809,45
020100901,58
020100902,42
020100903,47
020100904,46
020100905,39
020100906,52
020100907,38
020100908,42
020100909,39
020100910,37
020101001,32
020101002,54
020101003,69
020101004,59
020101005,50
020101006,61
020101007,50
020101008,51
020101009,49
020101010,47
020101011,32
020101012,42
020101101,45
020101102,59
020101103,42
020101104,45
020101105,46
020101106,24
020101107,54
020101108,50
020101109,75
020101110,53
020101111,32
020101201,73
020101202,82
020101203,50
020101204,31
020101205,22
020101206,26
020101207,40
020101208,38
020101209,54
020101210,29
020101301,44
020101302,34
020101303,34
020101304,45
020101305,45
020101306,56
020101307,40
020101308,74
020101309,51
020101310,58
020101311,47
020101312,52
020101401,59
020101402,29
020101403,37
020101404,50
020101405,51
020101406,40
020101407,47
020101408,28
020101409,37
020101410,56
020101411,31
020101501,34
020101502,56
020101503,29
020101504,34
020101505,52
020101506,37
020101507,23
020101508,41
020101509,69
020101601,38
020101602,44
020101603,33
020101604,58
020101605,71
020101606,60
020101607,45
020101608,37
020101609,61
020101701,57
020101702,56
020101703,57
020101704,104
020101705,62
020101706,48
020101707,40
020101708,37
020101709,29
020101710,34
020101801,36
020101802,40
020101803,44
020101804,54
020101805,54
020101806,46
020101807,57
020101808,32
020101809,107
020101810,28
020101811,28
020101812,34
020101901,35
020101902,60
020101903,36
020101904,45
020101905,55
020101906,51
020101907,81
020101908,26
020101909,51
020101910,50
020101911,70
020101912,83
020110101,58
020110102,58
020110103,36
020110104,56
020110105,36
020110106,55
020110107,59
020110108,52
020110109,62
020110110,78
020110111,99
020110112,54
020110201,63
020110202,69
020110203,62
020110204,62
020110205,94
020110206,81
020110207,79
020110208,94
020110209,66
020110210,112
020110211,85
020110301,94
020110302,112
020110303,75
020110304,74
020110305,77
020110306,90
020110307,77
020110308,83
020110309,86
020110310,96
020110311,69
020110312,58
020110401,90
020110402,99
020110403,65
020110404,120
020110405,85
020110406,78
020110407,102
020110408,90
020110409,101
020110410,67
020110411,82
020110412,94
020110413,94
020110501,55
020110502,86
020110503,100
020110504,68
020110505,60
020110506,57
020110507,55
020110508,51
020110509,38
020110510,58
020110601,67
020110602,71
020110603,75
020110604,48
020110605,55
020110606,35
